no,name,listing_date,offering_price,open_price,close_price,open_return,close_return,competition_ratio,lockup_ratio,float_ratio,price_position,band_low,band_high,final_price
2255,세미파이브,2025-12-29,24000,47170,27650,96.54166666666667,15.208333333333332,436.89,43.93,71.81,upper,21000,24000,24000
2248,리브스메드,2025-12-24,55000,66000,49600,20.0,-9.818181818181818,231.87,17.12,100.0,upper,44000,55000,55000
2265,미래에셋비전스팩10호,2025-12-23,2000,5050,1991,152.5,-0.44999999999999996,1137.49,0.0,100.0,upper,2000,2000,2000
2262,하나스팩36호,2025-12-22,2000,3000,1977,50.0,-1.15,1076.96,0.0,100.0,upper,2000,2000,2000
2252,삼진식품,2025-12-22,7600,22900,19210,201.3157894736842,152.76315789473685,1303.87,41.05,62.44,upper,6700,7600,7600
2263,미래에셋비전스팩11호,2025-12-22,2000,3900,2210,95.0,10.5,1144.01,0.0,100.0,upper,2000,2000,2000
2264,IBKS스팩25호,2025-12-19,2000,4838,2715,141.9,35.75,1144.51,0.0,100.0,upper,2000,2000,2000
2258,알지노믹스,2025-12-18,22500,90000,90000,300.0,300.0,1871.43,74.29,100.0,upper,17000,22500,22500
2231,나라스페이스테크놀로지,2025-12-17,16500,34000,27150,106.06060606060606,64.54545454545455,879.08,5.53,36.65,upper,13100,16500,16500
2247,아크릴,2025-12-16,19500,45900,67000,135.3846153846154,243.58974358974356,790.49,52.75,48.3,upper,17500,19500,19500
2257,메리츠스팩1호,2025-12-15,2000,3000,2045,50.0,2.25,948.16,0.0,100.0,upper,2000,2000,2000
2242,티엠씨(유가),2025-12-15,9300,22550,16770,142.4731182795699,80.3225806451613,959.96,53.42,21.58,upper,8000,9300,9300
2237,쿼드메디슨,2025-12-12,15000,23950,17630,59.66666666666667,17.533333333333335,1139.61,17.82,100.0,upper,12000,15000,15000
2259,교보스팩19호,2025-12-12,2000,4525,2030,126.25,1.5,1143.94,0.0,100.0,upper,2000,2000,2000
2260,키움히어로스팩1호,2025-12-12,2000,3010,1986,50.5,-0.7000000000000001,1181.37,0.0,100.0,upper,2000,2000,2000
2238,이지스,2025-12-11,15000,32000,20500,113.33333333333333,36.666666666666664,1109.86,6.31,100.0,upper,13000,15000,15000
2261,유진스팩12호,2025-12-11,2000,3015,1985,50.74999999999999,-0.75,1166.41,0.0,100.0,upper,2000,2000,2000
2240,페스카로,2025-12-10,15500,45000,27100,190.3225806451613,74.83870967741936,1173.21,10.43,100.0,upper,12500,15500,15500
2239,테라뷰홀딩스,2025-12-09,8000,12000,16000,50.0,100.0,646.0,10.19,100.0,upper,7000,8000,8000
2256,NH스팩32호,2025-12-05,2000,4915,3840,145.75,92.0,1098.41,0.0,100.0,upper,2000,2000,2000
2232,에임드바이오,2025-12-04,11000,44000,44000,300.0,300.0,671.98,74.22,33.31,upper,9000,11000,11000
2254,미래에셋비전스팩9호,2025-12-01,2000,4500,3335,125.0,66.75,1114.14,0.0,100.0,upper,2000,2000,2000
2253,삼성스팩12호,2025-11-28,2000,4330,3030,116.5,51.5,1015.37,0.0,100.0,upper,2000,2000,2000
2233,아로마티카,2025-11-27,8000,27500,19920,243.75,149.0,1152.98,58.01,40.87,upper,6000,8000,8000
2251,미래에셋비전스팩8호,2025-11-27,2000,3365,1982,68.25,-0.8999999999999999,1059.29,0.0,100.0,upper,2000,2000,2000
2249,신영스팩11호,2025-11-24,2000,3300,2005,65.0,0.25,1092.11,0.0,100.0,upper,2000,2000,2000
2229,비츠로넥스텍,2025-11-21,6900,12500,12810,81.15942028985508,85.65217391304348,1015.93,29.76,100.0,upper,5900,6900,6900
2241,비엔케이스팩3호,2025-11-21,2000,2980,2100,49.0,5.0,971.64,0.0,100.0,upper,2000,2000,2000
2236,씨엠티엑스,2025-11-20,60500,152000,131600,151.2396694214876,117.52066115702479,756.19,71.77,39.9,upper,51000,60500,60500
2230,더핑크퐁컴퍼니(구.스마트스터디),2025-11-18,38000,58000,41550,52.63157894736842,9.342105263157894,615.89,30.42,47.64,upper,32000,38000,38000
2228,그린광학,2025-11-17,16000,54000,22850,237.5,42.8125,962.34,65.43,,upper,14000,16000,16000
